station_id,station_latitude,station_longitude,era5_grid_latitude,era5_grid_longitude,distance_km
ANAND_VIHAR,28.646835,77.316032,28.75,77.25,13.156
ITO,28.628624,77.24106,28.75,77.25,13.525
OKHLA_PHASE_2,28.530785,77.271255,28.5,77.25,4.004
AYA_NAGAR,28.4706914,77.1099364,28.5,77.0,11.228
RK_PURAM,28.674045,77.131023,28.75,77.25,14.351
DHYAN_CHAND_STADIUM,28.611281,77.237738,28.5,77.25,12.432
MANDIR_MARG,28.636429,77.201067,28.75,77.25,13.5
PUNJABI_BAGH,28.563262,77.186937,28.5,77.25,9.351
JAHANGIRPURI,28.73282,77.170633,28.75,77.25,7.97
DWARKA_SECTOR_8,28.5710274,77.0719006,28.5,77.0,10.569
